DEPTH,GR,RLA1,RLA2,RLA3,RLA4,RLA5,RT_HRLT,RHOB,TNPH,Vsh,Sw,Por,LogRt,LogPhiT,LogSwT
3041.1,57.3801,,,,,,,2.1408,0.13,0.1351,0.3073,0.2541,2.813676681,-1.370027389,-1.17993081
3041.142,42.7775,273.0652,213.6207,254.1896,279.0933,371.2076,468.8386,2.1625,0.0814,0.0278,0.0672,0.2232,6.150258573,-0.65130581,-1.172630727
3041.2,59.022,,,,,,,2.1767,0.1281,0.1472,0.2984,0.2346,3.020498054,-1.449873343,-1.209320411
3041.2944,42.0398,290.3898,250.1522,315.6389,356.1452,460.9011,636.7264,2.1525,0.0809,0.0224,0.0713,0.2247,6.45634005,-0.648396928,-1.14691047
3041.3,60.2261,,,,,,,2.2183,0.1268,0.1561,0.2872,0.2122,3.283887984,-1.550226053,-1.247576442
3041.4,65.9005,,,,,,,2.2353,0.1295,0.1978,0.2704,0.2013,3.484250937,-1.602958946,-1.307852935
3041.4468,41.7941,251.6945,213.6782,267.9875,299.3466,372.3997,507.4485,2.1384,0.0828,0.0205,0.0731,0.2298,6.229395228,-0.638649976,-1.136082623
3041.5,71.4582,,,,,,,2.229,0.1345,0.2387,0.2598,0.2026,3.531784026,-1.596521687,-1.347843175
3041.5992,40.5646,270.8168,270.8408,327.0804,358.0779,433.8123,574.1932,2.1171,0.0824,0.0115,0.0666,0.2396,6.352965925,-0.620513186,-1.176525771
3041.6,76.9264,,,,,,,2.2021,0.1417,0.2789,0.2528,0.2144,3.464578984,-1.53991185,-1.375156617
3041.7,84.0138,,,,,,,2.1722,0.155,0.331,0.2447,0.2271,3.399475901,-1.48236483,-1.407722309
3041.7516,41.4252,279.0487,300.8821,361.3501,382.4179,461.9662,599.6165,2.1,0.0798,0.0178,0.0651,0.2451,6.396290284,-0.610656689,-1.186419011
3041.8,88.921,,,,,,,2.151,0.1631,0.3671,0.2387,0.236,3.364149506,-1.443923474,-1.432547746
3041.9,91.504,,,,,,,2.139,0.1656,0.3861,0.2335,0.2407,3.364149506,-1.424203934,-1.454573202
3041.904,44.3744,287.5318,309.0574,365.6081,379.8954,465.1375,593.114,2.0958,0.0761,0.0395,0.0641,0.2428,6.385386623,-0.614751318,-1.19314197
3042,93.6191,,,,,,,2.1277,0.1667,0.4016,0.2294,0.2453,3.359284515,-1.405273328,-1.472288074
3042.0564,47.9397,298.2246,316.201,389.6707,406.666,506.6277,656.9834,2.1101,0.0753,0.0657,0.0638,0.2345,6.487658752,-0.629857153,-1.195179321
3042.1,96.0206,,,,,,,2.1342,0.1671,0.4193,0.2225,0.2408,3.443691577,-1.423788566,-1.502828177
3042.2,98.8175,,,,,,,2.1639,0.1666,0.4398,0.2145,0.2251,3.61906571,-1.491210531,-1.539445541
3042.2088,49.9068,208.9264,170.2068,188.4263,209.8577,260.6064,293.8853,2.1294,0.0767,0.0802,0.1158,0.2318,5.683189555,-0.634886568,-0.936291441
3042.3,102.5032,,,,,,,2.1697,0.1712,0.4669,0.2165,0.2223,3.606540779,-1.503727458,-1.530164732
3042.3612,45.9747,160.4671,109.1412,120.935,138.5388,168.455,141.6652,2.1482,0.0804,0.0513,0.1319,0.2288,4.953466527,-0.64054398,-0.879755204
3042.4,106.2915,,,,,,,2.1685,0.1731,0.4948,0.2302,0.2246,3.452948238,-1.493434237,-1.468806783
3042.5,110.1066,,,,,,,2.1599,0.1696,0.5228,0.2773,0.2365,2.985257605,-1.441807071,-1.282655326
3042.5136,44.3764,192.1782,121.9336,132.506,157.7058,187.6861,151.7194,2.1598,0.0852,0.0395,0.1237,0.2261,5.022032762,-0.645699438,-0.9076303
3042.6,113.6888,,,,,,,2.1526,0.1591,0.5492,0.2764,0.2395,2.958025214,-1.429201862,-1.285906187
3042.666,43.024,242.3337,169.3235,183.5918,230.5822,266.1199,249.5197,2.1554,0.0884,0.0296,0.0958,0.2269,5.51953787,-0.644165504,-1.018634491
3042.7,118.2528,,,,,,,2.1506,0.1485,0.5827,0.2674,0.2382,3.017107194,-1.434644622,-1.319009614
3042.8,124.7934,,,,,,,2.1581,0.1399,0.6308,0.2628,0.2327,3.066563454,-1.458005209,-1.336361992
3042.8184,47.0791,240.4258,179.8146,198.7834,255.5904,286.9431,365.944,2.1422,0.0853,0.0594,0.0801,0.2288,5.902480316,-0.64054398,-1.096367484
3042.9,130.6757,,,,,,,2.1659,0.1387,0.6741,0.1383,0.2094,4.381981634,-1.563508981,-1.97833004
3042.9708,45.6038,246.0866,197.6243,238.4918,286.6003,317.4054,438.611,2.1174,0.0848,0.0486,0.0729,0.2392,6.083612915,-0.621238825,-1.137272472
3043,136.6092,,,,,,,2.1732,0.1413,0.7177,0.1048,0.2014,4.866374547,-1.602462299,-2.255701507
3043.1,143.027,,,,,,,2.1794,0.149,0.7649,0.1041,0.1979,4.846026339,-1.619993426,-2.262403303
3043.1232,47.325,264.3189,213.4946,294.9363,319.0434,346.3218,487.1214,2.091,0.0839,0.0612,0.0669,0.2485,6.188513373,-0.604673607,-1.174573882
